,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
2869,2919,ooops! noah is gone...,0,16,5,3
2870,2920,space chimps,0,16,5,3
2871,2921,umibe no étranger,0,8,16,119
2872,2922,gekijô ban naruto: shippûden - kizuna,0,4,6,84
2873,2923,hadashi no gen,0,3,8,142
2874,2924,yu-gi-oh! the movie,0,4,17,12
2875,2925,made in abyss: hôrô suru tasogare,0,16,6,104
2876,2926,flåklypa grand prix,0,6,15,25
2877,2927,kidô senshi gundam cucuruz doan no shima,0,4,8,50
2878,2928,gekijô-ban sôdo âto onrain: sword art online - ôdinaru sukêru -,0,4,17,12
2879,2929,jetsons: the movie,0,6,15,25
2880,2930,rock dog 2,0,16,5,3
2881,2931,ooops! the adventure continues,0,16,5,3
2882,2932,rock &amp; rule,0,7,12,202
2883,2933,bai she 2: qing she jie qi,0,4,17,12
2884,2934,yoru wa mijikashi aruke yo otome,0,16,5,3
2885,2935,the point,0,16,15,9
2886,2936,seishun buta yaro wa yumemiru shoujo no yume wo minai,0,8,15,43
2887,2937,cats &amp; dogs 3: paws unite,0,4,17,12
2888,2938,moonbound,0,16,15,9
2889,2939,doogal,0,16,5,3
2890,2940,happily ever after,0,14,6,58
2891,2941,anderusen dôwa ningyo-hime,0,16,8,40
2892,2942,the king and i,0,14,6,58
2893,2943,double dutchess: seeing double,0,8,6,41
2894,2944,one piece: omatsuri danshaku to himitsu no shima,0,4,17,12
2895,2945,hokuto no ken,0,4,8,50
2896,2946,ne zha zhi mo tong jiang shi,0,4,17,12
2897,2947,ni no kuni,0,4,17,12
2898,2948,ernest et célestine,0,16,5,3
2899,2949,"mune, le gardien de la lune",0,16,5,3
2900,2950,hôhokekyo tonari no yamada-kun,0,6,15,25
2901,2951,suchîmubôi,0,4,17,12
2902,2952,the adventures of mark twain,0,16,15,9
2903,2953,terra,0,4,17,12
2904,2954,rover dangerfield,0,6,15,25
2905,2955,blue thermal,0,8,16,119
2906,2956,"ultramarines: a warhammer 40,000 movie",0,4,6,84
2907,2957,les maîtres du temps,0,16,1,95
2908,2958,gay purr-ee,0,6,15,25
2909,2959,sir billi,0,16,5,3
2910,2960,diary of a wimpy kid: rodrick rules,0,6,8,32
2911,2961,xi you ji zhi da sheng gui lai,0,4,17,12
2912,2962,delgo,0,16,5,3
2913,2963,my love affair with marriage,0,6,8,32
2914,2964,batman: return of the caped crusaders,0,4,17,12
2915,2965,bai she: yuan qi,0,4,17,12
2916,2966,given,0,8,12,70
2917,2967,star wars: a droid story,0,16,6,104
2918,2968,checkered ninja,0,4,17,12
2919,2971,kimetsu no yaiba: hashira gou kaigi - chouyashiki hen,0,4,6,84
2920,2972,sakasama no patema,0,16,8,40
2921,2973,gekijouban hunter x hunter: fantomu rûju,0,4,17,12
2922,2974,xin shen bang: ne zha chong sheng,0,4,6,84
2923,2975,avril et le monde truqué,0,16,5,3
2924,2976,the pilgrim's progress,0,16,15,9
2925,2977,cider no yô ni kotoba ga wakiagaru,0,8,12,70
2926,2978,hitpig,0,4,17,12
2927,2979,strings,0,16,8,40
2928,2980,piglet's big movie,0,16,5,3
2929,2981,chasseurs de dragons,0,4,17,12
2930,2982,the magician's elephant,0,16,5,3
2931,2983,konferenz der tiere,0,16,5,3
2932,2984,interstella 5555: the 5tory of the 5ecret 5tar 5ystem,0,16,12,131
2933,2985,the pirates who don't do anything: a veggietales movie,0,16,5,3
2934,2986,chuck steel: night of the trampires,0,4,5,21
2935,2987,volki i ovtsy. beeezumnoe prevrashchenie,0,6,15,25
2936,2988,the house of magic,0,16,5,3
2937,2989,the reluctant dragon,0,6,15,25
2938,2990,justin and the knights of valour,0,16,5,3
2939,2991,goblin slayer: goblin's crown,0,4,17,12
2940,2992,astérix et les vikings,0,16,5,3
2941,2993,legends of oz: dorothy's return,0,16,15,9
2942,2994,return to zootopia,0,4,17,12
2943,2995,altered carbon: resleeved,0,4,4,105
2944,2996,kôkaku kidôtai 2.0,0,4,4,105
2945,2997,qi che ren zong dong yuan,0,16,15,9
2946,2998,kyaputen hârokku,0,16,1,95
2947,2999,deathstroke knights &amp; dragons: the movie,0,4,17,12
2948,3000,the lego batman movie 2,0,4,17,12
2949,3001,ôritsu uchûgun oneamisu no tsubasa,0,8,1,98
2950,3002,my little pony: equestria girls - rainbow rocks,0,16,5,3
2951,3003,vaioretto evâgâden gaiden: eien to jidou shuki ningyou,0,8,15,43
2952,3004,boom and topper: safari hunters,0,4,17,12
2953,3005,ternet ninja 2,0,4,17,12
2954,3006,aqua teen hunger force colon movie film for theaters,0,4,17,12
2955,3007,ozzy,0,16,5,3
2956,3008,dragon ball z: fukkatsu no fusion!! gokuu to vegeta,0,4,1,69
